Business Name,Review,Reviewer Name,Review Text,place_id,reviewUrl,Business Rating,Total Reviews,Address,website,phone,Country Code,Category,review_label,empty_review,og_lang_code,Review Text Translated,mapped_category,review_length,topic_relevance
Anytime Fitness,4,Than pohwai,,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xGSFJub3dRblYyYVV3MlYzQmxlR04yT0haR1oyYxAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CAIQACodChtycF9oOlFHRnowQnV2aUw2V3BleGN2OHZGZ2c%7C0cc9czj4nb1%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,0,1,,,Gym,0,0.0
Anytime Fitness,1,Rah,"Management in this region is not the best! Note that regardless of your circumstances, they will give the excuse that “their policy is consistent across all clubs” and charge you extra when pausing membership. Which is not true, if your AF is under the northeast side, the management is more lenient and understanding of your circumstances. Just a PSA to not use the gym in this region so often to the point ur membership is converted here! Stick to other AF in the other region :-)",ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214YWJGaHNhVWxZWjNwSFgwWnVNbU5RTlRaNmVGRRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CAIQACodChtycF9oOmxabFhsaUlYZ3pHX0ZuMmNQNTZ6eFE%7C0cRljefV8u-%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,1,0,en,"Management in this region is not the best! Note that regardless of your circumstances, they will give the excuse that “their policy is consistent across all clubs” and charge you extra when pausing membership. Which is not true, if your AF is under the northeast side, the management is more lenient and understanding of your circumstances. Just a PSA to not use the gym in this region so often to the point ur membership is converted here! Stick to other AF in the other region :-)",Gym,86,0.44294464588165283
Anytime Fitness,5,Lin HaiHong,感谢 Desmond 在关键时刻救了一位晕倒的女士，本人真心谢谢见义勇为的你.你是一位好员工，祝你前程似锦，好人一生平安。,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pReVFrNXVNVzFNU3poYVNuaFhNekJOYTJRM2NXYxAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CAIQACodChtycF9oOjQyQk5uMW1MSzhaSnhXMzBNa2Q3cWc%7C0cQv-opDRB5%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,1,0,zh-CN,Thank you Desmond for saving a woman who fainted at a critical moment. I sincerely thank you for your bravery. You are a good employee and I wish you a bright future and a safe life for a good person.,Gym,40,0.12785081565380096
Anytime Fitness,5,Zentov,"I signed up today, and firdaus made the process smooth and clear. We were done within 10 minutes and I am glad to be part of the AF family!",ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQWDB1dlBVamNfVVVBEAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEPX0uvPUjc_UUA%7CCgsI4ZKRwQYQ8LzGcg%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,1,0,en,"I signed up today, and firdaus made the process smooth and clear. We were done within 10 minutes and I am glad to be part of the AF family!",Gym,29,0.15019725263118744
Anytime Fitness,5,Tyler,Firdaus has been very patient in assisting me with the membership sign up process. He answered my inquiries and made the sign up process really smooth. Great customer service!,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNZa0liR0N3EAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMCYkIbGCw%7CCgwItLzHwAYQ0J7NrwM%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,1,0,en,Firdaus has been very patient in assisting me with the membership sign up process. He answered my inquiries and made the sign up process really smooth. Great customer service!,Gym,29,0.435362309217453
Anytime Fitness,5,yz,,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvME0zXzlnRRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMCo0M3_9gE%7CCgwIn4D0vwYQqLS_5wE%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,0,1,,,Gym,0,0.0
Anytime Fitness,5,Stephen Tay,Staff is nice and approachable. Will explain everything and answer all questions you have regarding their branch/ location. Smooth signing up process over here,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJa05lY3N3RRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMDIkNecswE%7CCgwIm4fJvwYQyMqymQE%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,1,0,en,Staff is nice and approachable. Will explain everything and answer all questions you have regarding their branch/ location. Smooth signing up process over here,Gym,24,0.3305821120738983
Anytime Fitness,5,Rachael Ang Xuan Xuan,Firdaus was really patient and helpful during the signing up of the membership! He explained the contract well and clear.,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNncE1yYVBnEAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMCgpMraPg%7CCgwI3fy7vQYQoPjj1wM%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,1,0,en,Firdaus was really patient and helpful during the signing up of the membership! He explained the contract well and clear.,Gym,20,0.3637385368347168
Anytime Fitness,1,StaticPulse,The staff is always not available. Either go for more than 70 minutes break or come to work late or leave work earlier. Ridiculous.,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURBcDZ5eF93RRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMDAp6yx_wE%7CCgwIidWxvQYQoOutqAI%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,1,0,en,The staff is always not available. Either go for more than 70 minutes break or come to work late or leave work earlier. Ridiculous.,Gym,24,0.3667304813861847
Anytime Fitness,4,Hina Xtaa,Better customer service than nanyang anytime fitness.,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaamVXZUtREAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgIDZjeWeKQ%7CCgsI6qHVugYQ8NbCKw%7C?hl=en,4.7,215,"638 Jurong West Street 61, #03-01 Pioneer Mall",https://www.anytimefitness.sg/gyms/sg-0095/pioneer-mall-south-west/,+65 8500 4500,SG,Gym,3,0,en,Better customer service than nanyang anytime fitness.,Gym,7,0.3411928117275238
