title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,place_id
Tongue Tip Lanzhou Beef Noodle 舌尖尖 (Downtown East),4.7,308,1 Pasir Ris Close E!Avenue@Downtown East #02-322,Singapore,,SG,https://www.facebook.com/Tonguetipbeefnoodles/,+65 9780 8123,Halal restaurant,https://www.google.com/maps/search/?api=1&query=Tongue%20Tip%20Lanzhou%20Beef%20Noodle%20%E8%88%8C%E5%B0%96%E5%B0%96%20(Downtown%20East)&query_place_id=ChIJ3YGBcSI92jER3UaKr6eQCjI,ChIJ3YGBcSI92jER3UaKr6eQCjI
Lemongrass,4.4,1078,"476 Upper Serangoon View, #02-06",Singapore,,SG,https://qashiereats.com/Lemongrass,+65 8068 6965,Thai restaurant,https://www.google.com/maps/search/?api=1&query=Lemongrass&query_place_id=ChIJ6bdDIk0X2jERzZHtC7S6ceE,ChIJ6bdDIk0X2jERzZHtC7S6ceE
Lau Wang Claypot Delights @ Punggol Oasis Terraces,4.6,1518,"681 Punggol Dr., #01-15",Singapore,,SG,https://www.lauwangclaypot.com/,,Restaurant,https://www.google.com/maps/search/?api=1&query=Lau%20Wang%20Claypot%20Delights%20%40%20Punggol%20Oasis%20Terraces&query_place_id=ChIJY5b4lRgV2jERkw16w9mMBQ4,ChIJY5b4lRgV2jERkw16w9mMBQ4
Sanook Kitchen (Waterway Point),4.6,925,"83 Punggol Central, #B1-13 Waterway Point West Wing",Singapore,,SG,https://sanookkitchen.com.sg/,+65 6231 1597,Thai restaurant,https://www.google.com/maps/search/?api=1&query=Sanook%20Kitchen%20(Waterway%20Point)&query_place_id=ChIJJQep-owV2jERrkjXxwYWNJU,ChIJJQep-owV2jERrkjXxwYWNJU
Ajumma's (Waterway Point),4.8,3451,"02-26 West Wing Waterway, Punggol Central, Point83",Singapore,,SG,http://www.ajummassg.com/,+65 8749 7993,Korean restaurant,https://www.google.com/maps/search/?api=1&query=Ajumma's%20(Waterway%20Point)&query_place_id=ChIJ0y_h3jsV2jER0X7-hrLJll8,ChIJ0y_h3jsV2jER0X7-hrLJll8
辣不辣 Labula Mala Sichuan Restaurant @ Oasis Terrace,4.6,1236,"681 Punggol Dr., #01-07",Singapore,,SG,https://www.labula.sg/labula-store-location/,+65 8870 6606,Chinese restaurant,https://www.google.com/maps/search/?api=1&query=%E8%BE%A3%E4%B8%8D%E8%BE%A3%20Labula%20Mala%20Sichuan%20Restaurant%20%40%20Oasis%20Terrace&query_place_id=ChIJkSFt868V2jERvdiIQsspXoM,ChIJkSFt868V2jERvdiIQsspXoM
Takagi Ramen - E!Avenue@Downtown East,4.4,1345,"1 Pasir Ris Close, #02-316, E!Avenue@Downtown East",Singapore,,SG,https://takagiramen.com/,+65 9170 7870,Ramen restaurant,https://www.google.com/maps/search/?api=1&query=Takagi%20Ramen%20-%20E!Avenue%40Downtown%20East&query_place_id=ChIJ8ZWWuG492jERccIy0SHR9hc,ChIJ8ZWWuG492jERccIy0SHR9hc
White Restaurant (Waterway Point),4.4,2673,"83 Punggol Central, B1-12 Waterway Point West Wing",Singapore,,SG,https://whiterestaurant.com.sg/,+65 8073 6693,Chinese restaurant,https://www.google.com/maps/search/?api=1&query=White%20Restaurant%20(Waterway%20Point)&query_place_id=ChIJE8vfxYoV2jERyXYCN80Q6lk,ChIJE8vfxYoV2jERyXYCN80Q6lk
The Punggol Settlement,4.2,4028,500 New Punggol Rd,Singapore,,SG,http://www.punggolsettlement.com/,+65 6702 6383,Seafood restaurant,https://www.google.com/maps/search/?api=1&query=The%20Punggol%20Settlement&query_place_id=ChIJV8fL1fQV2jERLHmEh5JwNlg,ChIJV8fL1fQV2jERLHmEh5JwNlg
Rasa Istimewa @ Pasir Ris,4.3,792,201 Pasir Ris Rd,Singapore,,SG,https://www.rasaistimewa.sg/,+65 6386 9339,Restaurant,https://www.google.com/maps/search/?api=1&query=Rasa%20Istimewa%20%40%20Pasir%20Ris&query_place_id=ChIJcwkC8Co92jERxiPJ0rflF9c,ChIJcwkC8Co92jERxiPJ0rflF9c
HAEDEUM CHARCOAL BBQ,4.4,827,"1 Pasir Ris Cl, 303 E!hub, #01-302",Singapore,,SG,,+65 9732 4633,Korean barbecue restaurant,https://www.google.com/maps/search/?api=1&query=HAEDEUM%20CHARCOAL%20BBQ&query_place_id=ChIJix3npEI92jERcbHJQcxoy5I,ChIJix3npEI92jERcbHJQcxoy5I
